Location name,Amount spent (ZAR)
Eastern Cape,777
Free State,507
Gauteng,2685
KwaZulu-Natal,923
Limpopo,409
Mpumalanga,318
North West,284
Northern Cape,243
Unknown,≤100
Western Cape,10522
