Location name,Amount spent (JPY)
Aichi Prefecture,39648
Akita Prefecture,3544
Aomori Prefecture,5843
Chiba Prefecture,31843
Ehime Prefecture,4659
Fukui Prefecture,3217
Fukuoka Prefecture,40757
Fukushima Prefecture,7825
Gifu Prefecture,9271
Gunma Prefecture,14439
Hiroshima Prefecture,10528
Hokkaido,36181
Hyōgo Prefecture,23570
Ibaraki Prefecture,9691
Ishikawa Prefecture,4959
Iwate Prefecture,4128
Kagawa Prefecture,6003
Kagoshima Prefecture,5004
Kanagawa Prefecture,59833
Kumamoto Prefecture,7148
Kyoto Prefecture,15334
Kōchi Prefecture,2337
Mie Prefecture,7788
Miyagi Prefecture,17037
Miyazaki Prefecture,3840
Nagano Prefecture,7111
Nagasaki Prefecture,4623
Nara Prefecture,5296
Niigata Prefecture,6458
Okayama Prefecture,9031
Okinawa Prefecture,11442
Osaka Prefecture,56596
Saga Prefecture,4047
Saitama Prefecture,31681
Shiga Prefecture,6208
Shimane Prefecture,1697
Shizuoka Prefecture,13495
Tochigi Prefecture,6769
Tokushima Prefecture,2061
Tokyo,97780
Tottori Prefecture,1718
Toyama Prefecture,3435
Unknown,≤100
Wakayama Prefecture,3107
Yamagata Prefecture,4763
Yamaguchi Prefecture,3939
Yamanashi Prefecture,10593
Ōita Prefecture,5665
