Location name,Amount spent (AOA)
Bengo Province,≤100
Benguela Province,1192
Bié Province,175
Cabinda Province,533
Cuando Cubango Province,≤100
Cuanza Norte Province,≤100
Cuanza Sul Province,≤100
Cunene Province,≤100
Huambo Province,575
Huíla Province,833
Luanda Province,13507
Lunda Norte Province,167
Lunda Sul Province,167
Malanje Province,108
Moxico Province,133
Namibe Province,≤100
Uíge Province,≤100
Zaire Province,≤100
