Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
103915262545181,KMU geprüft,KMU geprüft,3128,154
599025353636034,B Lab Switzerland,B LAB (SWITZERLAND),651,17
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,486,3
1526697364280066,Partito Socialista Ticino,Partito Socialista Ticino,430,8
105982889575233,Le Centre Genève,Le Centre Genève,302,5
176998335660824,PLRT,PLRT,296,42
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,282,15
1054282644596776,GE-démocratie,GE-démocratie,281,9
260591187302640,Parti socialiste genevois,Parti socialiste genevois,267,10
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,249,17
97220294896,SP Schweiz,SP Schweiz,239,7
225005760938801,FDP.Die Liberalen Emmen,FDP.Die Liberalen Emmen,231,11
1836872279965837,Fabian Peter,fabianpeter.ch,231,36
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,230,41
120371314332042,FDP Wahlkreis Sursee,FDP.Die Liberalen Luzern,157,33
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,157,2
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,152,44
1524954517562834,Prominis,Prominis GmbH,149,5
151183321586281,Jeunes Vert·e·x·s Genève,Jeunes Vert·e·x·s Genève,140,22
140334276690,Grüne Luzern,GRÜNE Luzern,117,1
192306360802833,Grünliberale Luzern Land,Grünliberale Luzern Land,107,3
291359247729208,PS Suisse,PS Suisse,107,4
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,≤100,2
111539168454051,Avanti,Avanti,≤100,10
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,≤100,12
194790813901953,Grüne Schweiz,Grüne Schweiz,≤100,3
84150672409,SP Stadt Zürich,SP Stadt Zürich,≤100,7
101122865395791,Matteo Buzzi,Matteo Buzzi,≤100,4
463645587339110,Piero Marchesi,Piero Marchesi,≤100,5
222196101148136,Grünliberale Partei Kanton Luzern,Grünliberale Partei Kanton Luzern,≤100,12
445748655573590,Bernhard Steiner wieder in den Kantonsrat,Bernhard Franz Steiner,≤100,2
1439209716323593,UDC Ticino,UDC Ticino,≤100,6
114231361547107,SVP Wahlkreis Hochdorf LU,SVP - Wahlkreis Hochdorf LU,≤100,2
859017794123127,Gioventù Socialista Ticino,Gioventù Socialista Ticino,≤100,24
1579272705641700,Gabriela Suter,Gabriela Suter,≤100,9
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100,4
1492503634364441,Liste d'Union Populaire,Ensemble à Gauche-Genève,≤100,5
