Location name,Amount spent (ISK)
Capital Region,58279
Eastern Region,5668
Northeastern Region,9177
Northwestern Region,3950
Southern Peninsula,9650
Southern Region,8465
Unknown,≤100
Western Region,5217
Westfjords,3544
