Location name,Amount spent (EUR)
Alsace,646
Aquitaine,1345
Auvergne,406
Basse-Normandie,439
Bourgogne,530
Bretagne,1029
Centre,795
Champagne-Ardenne,465
Corse,140
Franche-Comté,352
French Guiana,≤100
Guadeloupe,≤100
Haute-Normandie,590
Languedoc-Roussillon,1224
Limousin,238
Lorraine,991
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1111
New Caledonia,≤100
Nord-Pas-de-Calais,1280
Pays de la Loire,1096
Picardie,614
Poitou-Charentes,618
Provence-Alpes-Côte d'Azur,2457
Reunion Island,≤100
Rhône-Alpes,2321
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Unknown,≤100
Île-de-France,4616
