Location name,Amount spent (AUD)
Australian Capital Territory,1035
Jervis Bay Territory,≤100
New South Wales,19128
Norfolk Island,≤100
Northern Territory,654
Queensland,15364
South Australia,4058
Tasmania,3233
Unknown,≤100
Victoria,19352
Western Australia,7084
