Location name,Amount spent (USD)
Bagmati Zone,105
Bheri Zone,≤100
Dhawalagiri Zone,≤100
Gandaki Zone,≤100
Janakpur Zone,≤100
Karnali Zone,≤100
Kosi Zone,≤100
Lumbini Zone,≤100
Mahakali Zone,≤100
Mechi Zone,≤100
Narayani Zone,≤100
Rapti Zone,≤100
Sagarmatha Zone,≤100
Seti Zone,≤100
Unknown,≤100
