Location name,Amount spent (EGP)
Al Sharqia Governorate,870
Alexandria Governorate,920
Aswan Governorate,147
Asyut Governorate,329
Beheira Governorate,452
Beni Suef Governorate,204
Cairo Governorate,3047
Dakahlia Governorate,765
Damietta Governorate,238
Faiyum Governorate,206
Gharbia Governorate,850
Giza Governorate,1044
Ismailia Governorate,291
Kafr el-Sheikh Governorate,331
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,337
Monufia Governorate,429
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,143
Qalyubia Governorate,687
Qena Governorate,230
Red Sea Governorate,≤100
Sohag Governorate,348
South Sinai Governorate,≤100
Suez Governorate,106
Unknown,≤100
