Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,2334
Bicol Region,11173
Cagayan Valley,7624
Calabarzon,46883
Caraga,4648
Central Luzon,31281
Central Visayas,17692
Cordillera Administrative Region,4094
Davao Region,10864
Eastern Visayas,8900
Ilocos Region,12904
Metro Manila,61627
Mimaropa,5843
Northern Mindanao,9465
Soccsksargen,8437
Unknown,≤100
Western Visayas,19609
Zamboanga Peninsula,6056
