Location name,Amount spent (EGP)
Al Sharqia Governorate,665
Alexandria Governorate,821
Aswan Governorate,≤100
Asyut Governorate,196
Beheira Governorate,481
Beni Suef Governorate,150
Cairo Governorate,2557
Dakahlia Governorate,710
Damietta Governorate,189
Faiyum Governorate,138
Gharbia Governorate,485
Giza Governorate,946
Ismailia Governorate,108
Kafr el-Sheikh Governorate,253
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,298
Monufia Governorate,328
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,144
Qalyubia Governorate,1199
Qena Governorate,135
Red Sea Governorate,≤100
Sohag Governorate,194
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
