Location name,Amount spent (MXN)
Aguascalientes,3158
Baja California,19464
Baja California Sur,3068
Campeche,3409
Chiapas,8740
Chihuahua,15346
Coahuila de Zaragoza,28735
Colima,1983
Distrito Federal,110071
Durango,4153
Guanajuato,11585
Guerrero,6243
Hidalgo,5743
Jalisco,55592
Michoacán de Ocampo,14839
Morelos,5616
Nayarit,2791
Nuevo León,27977
Oaxaca,7275
Puebla,12352
Querétaro Arteaga,12120
Quintana Roo,19186
San Luis Potosi,9772
Sinaloa,6066
Sonora,16566
State of Mexico,84706
Tabasco,7000
Tamaulipas,15008
Tlaxcala,2786
Unknown,≤100
Veracruz,21816
Yucatán,40918
Zacatecas,4003
