Location name,Amount spent (USD)
Azuay Province,10554
Bolívar Province,582
Carchi Province,644
Cañar Province,1835
Chimborazo Province,3822
Cotopaxi Province,2218
El Oro Province,13766
Esmeraldas Province,3729
Galápagos Province,341
Guayas Province,21767
Imbabura Province,2798
Loja Province,2217
Los Ríos Province,8418
Manabí Province,13635
Morona-Santiago Province,827
Napo Province,419
Orellana Province,1799
Pastaza Province,808
Pichincha Province,19357
Santa Elena Province,1991
Santo Domingo de los Tsáchilas Province,7344
Sucumbíos Province,1572
Tungurahua Province,2728
Unknown,≤100
Zamora-Chinchipe Province,412
