Location name,Amount spent (PEN)
Amazonas Region,136
Ancash Region,586
Apurímac Region,194
Arequipa Region,611
Ayacucho Region,324
Cajamarca Region,552
Callao,334
Cusco Region,607
Huancavelica Region,≤100
Huánuco Region,302
Ica Region,530
Junín Region,598
La Libertad Region,988
Lambayeque Region,646
Lima Region,3621
Loreto Region,472
Madre de Dios Region,133
Moquegua Region,≤100
Pasco Region,117
Piura Region,963
Puno Region,676
San Martín Region,424
Tacna Region,195
Tumbes Region,155
Ucayali Region,301
Unknown,≤100
