Location name,Amount spent (GTQ)
Alta Verapaz Department,644
Baja Verapaz Department,138
Chimaltenango Department,390
Chiquimula Department,296
El Progreso Department,121
Escuintla Department,655
Guatemala Department,10642
Huehuetenango Department,642
Izabal Department,427
Jalapa Department,203
Jutiapa Department,269
Petén Department,285
Quetzaltenango Department,1248
Quiché Department,442
Retalhuleu Department,267
Sacatepéquez Department,459
San Marcos Department,1471
Santa Rosa Department,201
Sololá Department,252
Suchitepéquez Department,423
Totonicapán Department,286
Unknown,≤100
Zacapa Department,205
