Location name,Amount spent (INR)
Andaman and Nicobar Islands,290
Andhra Pradesh,30433
Arunachal Pradesh,1787
Assam,18787
Bihar,60629
Chandigarh,2345
Chhattisgarh,60084
Dadra and Nagar Haveli,741
Delhi,71975
Goa,3919
Gujarat,57652
Haryana,55499
Himachal Pradesh,12645
Jammu and Kashmir,6672
Jharkhand,14837
Karnataka,72404
Kerala,10421
Lakshadweep,≤100
Madhya Pradesh,110906
Maharashtra,210385
Manipur,238
Meghalaya,981
Mizoram,686
Nagaland,665
Odisha,14528
Puducherry,745
Punjab region,49753
Rajasthan,129413
Sikkim,1294
Tamil Nadu,42260
Telangana,51758
Tripura,1904
Unknown,164
Uttar Pradesh,113320
Uttarakhand,11002
West Bengal,73990
