Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
740116816003959,Western Cape Government,Western Cape Government,1710,3
136956534616,Times LIVE,TimesLIVE,1061,21
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,893,1
102765088210163,Action SA,ActionSA,851,14
114506216924214,Centre For Risk Analysis,Centre For Risk Analysis,773,18
133307190069756,Amnesty International South Africa,Amnesty International South Africa,652,3
6011868110,Democratic Alliance,Democratic Alliance,569,1
106172744063430,The Daily Friend,The Daily Friend,407,15
107169379305548,TLU SA,TLU SA,266,6
119736861394881,Financial Mail,BusinessLIVE,249,33
581475018952196,Good,GOOD Political Party,236,3
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),214,1
1742410059361710,AwakeMzansi,Awake Mzansi,204,1
597918073626793,Democratic Alliance Free State,Democratic Alliance Free State,190,5
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,175,1
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,170,6
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,147,1
147301545821830,Vryheidsfront Plus Wes-Kaap / Freedom Front Plus Western Cape,Vryheidsfront Plus / Freedom Front Plus,134,1
2145594122138312,Action Society,Action Society,127,3
181204251979581,NEASA,National Employers' Association of South Africa,101,2
102516258668317,Siza Water,Fahim N Farzanah Dawood,≤100,2
103278761413963,Empowering SA,Empowering SA,≤100,2
817419378298114,Herman Mashaba,ActionSA,≤100,1
165246196904704,Sakeliga,Sakeliga,≤100,1
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100,5
103355745426428,Councillor Carl Steenekamp,Carl Sebastian Steenekamp,≤100,1
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100,5
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100,1
106365011109894,WoMin African Alliance,WoMin African Alliance,≤100,1
101051196020136,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,Democratic Alliance,≤100,1
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100,5
141100792595323,Community Chest Durban,Gordon Mc Donald,≤100,1
246425659800809,Free State Central News,Central News,≤100,1
103131862424141,IZWE LETHU PARTY,IZWE LETHU PARTY,≤100,1
103627991981299,francodiea,These ads ran without a disclaimer,≤100,1
382377315238468,"Educational Research Center, Inc.",These ads ran without a disclaimer,≤100,2
110901495091012,Crtve Development,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
103583955836259,Tout sur l'Afrique,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,3
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
110919974897108,SH,These ads ran without a disclaimer,≤100,1
107280770707238,TextSticker,These ads ran without a disclaimer,≤100,1
110839298285111,Portal Mel Cajuina,These ads ran without a disclaimer,≤100,1
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,≤100,2
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,≤100,1
104763178714577,Gels MDPI,These ads ran without a disclaimer,≤100,1
163593447726948,Jerry Pettit Music,These ads ran without a disclaimer,≤100,1
143661702404558,Хочу учиться в США,These ads ran without a disclaimer,≤100,1
