Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,2434
Bicol Region,4420
Cagayan Valley,3424
Calabarzon,22110
Caraga,2234
Central Luzon,18598
Central Visayas,7383
Cordillera Administrative Region,1710
Davao Region,6865
Eastern Visayas,3808
Ilocos Region,4021
Metro Manila,28383
Mimaropa,2216
Northern Mindanao,5569
Soccsksargen,5029
Unknown,306
Western Visayas,8447
Zamboanga Peninsula,3579
