Location name,Amount spent (PYG)
Alto Paraguay Department,14284
Alto Paraná Department,394682
Amambay Department,28880
Asunción,690013
Boquerón department,12598
Caaguazú Department,246154
Caazapá Department,30390
Canindeyú Department,38551
Central Department,1262649
Concepción Department (Paraguay),44002
Cordillera Department,85030
Guairá Department,75544
Itapúa Department,143264
Misiones Department,30497
Paraguarí Department,50941
Presidente Hayes Department,27769
San Pedro Department,59972
Unknown,130
Ñeembucú Department,22743
