Location name,Amount spent (DKK)
Capital Region of Denmark,43345
Central Denmark Region,20560
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8697
Region of Southern Denmark,18943
Unknown,≤100
Zealand Region,12545
