Location name,Amount spent (JPY)
Aichi Prefecture,7595
Akita Prefecture,659
Aomori Prefecture,875
Chiba Prefecture,5462
Ehime Prefecture,959
Fukui Prefecture,676
Fukuoka Prefecture,22173
Fukushima Prefecture,1664
Gifu Prefecture,1639
Gunma Prefecture,1468
Hiroshima Prefecture,2348
Hokkaido,4418
Hyōgo Prefecture,5406
Ibaraki Prefecture,2404
Ishikawa Prefecture,1224
Iwate Prefecture,960
Kagawa Prefecture,963
Kagoshima Prefecture,1048
Kanagawa Prefecture,11044
Kumamoto Prefecture,3763
Kyoto Prefecture,3575
Kōchi Prefecture,561
Mie Prefecture,1588
Miyagi Prefecture,7468
Miyazaki Prefecture,1011
Nagano Prefecture,1935
Nagasaki Prefecture,2359
Nara Prefecture,1424
Niigata Prefecture,1701
Okayama Prefecture,1648
Okinawa Prefecture,3164
Osaka Prefecture,9167
Saga Prefecture,1914
Saitama Prefecture,17385
Shiga Prefecture,1470
Shimane Prefecture,523
Shizuoka Prefecture,3311
Tochigi Prefecture,1791
Tokushima Prefecture,713
Tokyo,23642
Tottori Prefecture,540
Toyama Prefecture,926
Unknown,≤100
Wakayama Prefecture,865
Yamagata Prefecture,957
Yamaguchi Prefecture,987
Yamanashi Prefecture,966
Ōita Prefecture,2626
