Location name,Amount spent (SEK)
Blekinge County,5236
Dalarna County,10521
Gotland County,2531
Gävleborg County,10970
Halland County,11997
Jämtland County,5471
Jönköping County,12856
Kalmar County,8151
Kronoberg County,6656
Norrbotten County,9896
Skåne County,52038
Stockholm County,87757
Södermanland County,11272
Unknown,≤100
Uppsala County,15405
Värmland County,9973
Västerbotten County,11597
Västernorrland County,8805
Västmanland County,9944
Västra Götaland County,64209
Örebro County,10731
Östergötland County,18717
