Location name,Amount spent (MXN)
Aguascalientes,4826
Baja California,18821
Baja California Sur,2938
Campeche,4112
Chiapas,9770
Chihuahua,12407
Coahuila de Zaragoza,113585
Colima,2258
Distrito Federal,69033
Durango,6586
Guanajuato,24727
Guerrero,6054
Hidalgo,6364
Jalisco,184214
Michoacán de Ocampo,14247
Morelos,16390
Nayarit,2743
Nuevo León,69574
Oaxaca,7564
Puebla,19682
Querétaro Arteaga,13224
Quintana Roo,25971
San Luis Potosi,15594
Sinaloa,5780
Sonora,9972
State of Mexico,151468
Tabasco,4169
Tamaulipas,13873
Tlaxcala,3104
Unknown,≤100
Veracruz,19319
Yucatán,18450
Zacatecas,2988
