Location name,Amount spent (MYR)
Johor,960
Kedah,607
Kelantan,355
Kuala Lumpur,1013
Labuan,≤100
Malacca,350
Negeri Sembilan,580
Pahang,359
Penang,393
Perak,552
Perlis,≤100
Putrajaya,≤100
Sabah,854
Sarawak,415
Selangor,2394
Terengganu,458
Unknown,≤100
