Location name,Amount spent (COP)
Amazonas,2568
Antioquia,3197388
Arauca,65604
Atlantico,811490
Bolivar,194955
Boyaca,354395
Caldas,219738
Caqueta,165974
Casanare,83797
Cauca,227618
Cesar,138470
Choco,29429
Cordoba,326935
Cundinamarca,487305
Distrito Especial,2297198
Guainia,9838
Guaviare,33558
Huila,203621
La Guajira,48703
Magdalena,279979
Meta,304369
Narino,123589
Norte de Santander,271703
Putumayo,100215
Quindio,101876
Risaralda,691531
San Andres y Providencia,7545
Santander,1284982
Sucre,120312
Tolima,302539
Unknown,13861
Valle del Cauca,2740536
Vaupes,498
Vichada,1168
