Location name,Amount spent (UYU)
Artigas Department,102
Canelones Department,4179
Cerro Largo Department,104
Colonia Department,228
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,276
Maldonado Department,266
Montevideo Department,2435
Paysandú Department,1162
Rivera Department,321
Rocha Department,≤100
Río Negro Department,183
Salto Department,266
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,113
Treinta y Tres Department,≤100
Unknown,≤100
