Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,197
Apurímac Region,≤100
Arequipa Region,391
Ayacucho Region,130
Cajamarca Region,178
Callao,≤100
Cusco Region,384
Huancavelica Region,≤100
Huánuco Region,115
Ica Region,176
Junín Region,227
La Libertad Region,328
Lambayeque Region,245
Lima Region,2049
Loreto Region,149
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,274
Puno Region,323
San Martín Region,202
Tacna Region,108
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
