Location name,Amount spent (SEK)
Blekinge County,9142
Dalarna County,17414
Gotland County,4161
Gävleborg County,17213
Halland County,18546
Jämtland County,7789
Jönköping County,19769
Kalmar County,12602
Kronoberg County,10000
Norrbotten County,14898
Skåne County,76332
Stockholm County,135857
Södermanland County,16974
Unknown,≤100
Uppsala County,22442
Värmland County,16160
Västerbotten County,15804
Västernorrland County,14506
Västmanland County,15269
Västra Götaland County,110674
Örebro County,17309
Östergötland County,24328
