Location name,Amount spent (EUR)
Alsace,427
Aquitaine,845
Auvergne,264
Basse-Normandie,292
Bourgogne,318
Bretagne,723
Centre,509
Champagne-Ardenne,279
Corse,107
Franche-Comté,210
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,415
Languedoc-Roussillon,898
Limousin,146
Lorraine,505
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,713
New Caledonia,≤100
Nord-Pas-de-Calais,817
Pays de la Loire,720
Picardie,401
Poitou-Charentes,380
Provence-Alpes-Côte d'Azur,1702
Reunion Island,≤100
Rhône-Alpes,1451
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3591
