Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
102266292553995,Sucia Política,Diego Ricardo Ramírez,1233156,13
325540631525675,En La Tecla,En la Tecla,1201493,10
150229055012487,UNICEF Paraguay,UNICEF Paraguay,722254,2
242118359309178,Ricardo Estigarribia,Douglas Mateus Hendges,614934,19
196599783696918,Efrain Alegre,Efrain Alegre,587436,6
241512319274531,Sixto Pereira,Sixto Pereira,484080,9
124625661665046,Patrick Kemper,Patrick Paul Kemper Thiede,454848,8
100566575581065,Ramón Montanía,Ramón Montania Fernandez,373353,1
102963512483270,PyElige,PY Elige,292444,4
102467002671611,Jorge Heisecke,Jorge Heisecke,246096,2
103771265752808,Vysokolán,Stephan Vysokolán,241581,2
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,199901,11
105796025619350,Tati Giménez Diputado 2023,Tati Giménez Diputado 2023,163250,2
118397948223791,Oscar Tuma,Óscar Luis Tuma Bogado,141537,6
283132325082901,Esperanza Martínez,Esperanza Martinez De Portillo,129578,4
103681832340596,Nelson Kpeto Cano,Kpeto Cano,102061,3
517426394969535,Ricardo Canese,Ricardo Canese,91005,4
455228041179710,Codehupy,Codehupy,90990,1
103759862278474,Victor Miranda Py,Clicnovo,87848,3
2013186305564108,Ing.Alvarenga Diputado 2023,Julio Cesar Alvarenga Rodriguez,84787,3
1927558977499398,Carolina Rivas,Eusebio Vera,75179,1
102887709202228,Pedro Mayor Martinez- Candidato a Senador,Antonio Morinigo,72646,4
107558844100122,Pastor Filártiga,Pastor Filártiga,71460,1
100445112671378,Fernando Camacho Senador 2023,Norma Graciela Ávalos Lezcano,63082,1
184860595385745,Ing. Roberto Jiménez - Concejal,Roberto Fernando Jimenez Ayala,63014,3
1151984808290856,Hugo Portillo,Hugo Portillo,58923,3
725834240910220,Noticiero Paraguay,Noticiero Paraguay,52082,4
153958777947957,Paulo Reichardt,Paulo Reichardt,51549,2
102940895895901,Victor Herreros Gimenez,Victor Herreros,50563,2
118890043360348,Pedro Santa Cruz,Pedro Arthuro Santa Cruz Insaurralde,50000,1
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,47505,2
137071910500968,Alvaro Grau,Oscar David Baez Alvarenga,43924,1
112692571431064,Jaime Samudio,Maria Irismar Armoa Diaz,42830,4
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,40148,2
1575743279360941,Carlos Cáceres Sarubbi Senador 2023,Carlos Agustin Caceres Sarubbi,39469,1
943824938962084,Luis Fernando,Luis Carlos Arce,38806,1
106682318781403,Rafaela Guanes Senadora,Rafaela Guanes,36603,1
1518537951510136,Sidinei Heinemann Zuse,Sidinei Heinemann Zuse,34701,2
101589739286507,Óscar González Senador,Maria Alejandra Correa Miño,30227,3
1711765125817047,Aldo Florentin,IMAGEN DE GOBIERNO,29491,2
773720583042911,La Verdad Digital Noticias,La Verdad Digital Noticias,26000,1
107686348789567,Alberto Ayala 123,Adan Alberto Ayala,24511,3
359307964420456,Terere Cómplice,Meli Olavarrieta,21736,4
222961017827862,Edgar Olmedo,Edgar Olmedo,21122,2
181461032397199,Billy Vaesken,Billy Vaesken,16295,2
107326631853562,Hugo Sosa Pasmor,Maria Alejandra Correa Miño,15681,1
112013680926673,Fabiola Galeano,Fabiola Galeano,15544,3
123892278310235,Eduardo Valiente,Rocio Soledad Martinez Larroza,14865,1
1810962229216340,Fidel Zavala,Laura Lorena Meaurio Paniagua,14641,1
1968848023197811,Beefeater Paraguay,These ads ran without a disclaimer,14641,1
1856745507987901,Dr. Guillermo Rodriguez Duré,Douglas Mateus Hendges,13504,1
613341488786700,Miguel Del Puerto,Miguel Angel Del Puerto Silva,12978,2
106438588789107,Luis Palacios Intendente,Viviano Baez Gonzalez,11998,1
646939832039958,Hugo Ibarra - Diputado Nacional,Eladio Ortiz Gayoso,11848,3
109400298573862,Dr. Víctor Ocampos Gobernador Paraguarí,Victor Luis Ocampos Gómez,10208,1
111912341409356,Centinela del Norte,Centinela del Norte,10026,1
1644521299000789,Penayo Y ALGO +,Alejandro R Acosta,9979,1
102649292598442,Senador Hugo Richer,Senador Hugo Richer,9926,1
107106825374681,Jesús Guapi,Jesús Fernando Guapi Narvaez,8895,1
507563776337962,Italo Da Rosa,Kinter Fleitas,8873,1
103429818624929,Edu Garay,Eduardo Garay,8720,1
107472138771407,Roque Avalos Concejal,Roque Jacinto Avalos Rojas,8607,1
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,7853,1
108982768685910,Cynthia Rios Diputada,Wilson Armoa,7321,1
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,6803,1
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,6803,1
518726648648192,Carlos Arrechea,Carlos Arrechea,5192,1
101246291435128,Nathalia Benítez - Concejal Departamental,Viviano Baez Gonzalez,4879,1
176941749043831,YAMIL ESGAIB,Yamil Esgaib,2880,1
237898026337131,Impacto Caaguazú- Digital.,impactocaaguazu,2632,1
110665567053224,DimartinoIntendente,Jorge Dimartino,2350,1
101978933230493,DHL,These ads ran without a disclaimer,1748,1
108824810612735,Ing. Jorge Palazón,Jorge Palazon,1571,1
221829277840831,Luis Alberto Wagner,Luis Alberto Wagner,1168,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,2
105955335714645,Exsprout-store,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
111014922285371,Transparency International,These ads ran without a disclaimer,≤100,1
111269601874307,Comunidade da criança,These ads ran without a disclaimer,≤100,10
338205530623,قناة الحوار - Alhiwar TV,These ads ran without a disclaimer,≤100,2
100250122744391,MauroStendel,These ads ran without a disclaimer,≤100,1
107078532290859,Kristin Parker,These ads ran without a disclaimer,≤100,1
110453981957668,Tratamiento del autismo,These ads ran without a disclaimer,≤100,8
101090099546806,greenlybachue,These ads ran without a disclaimer,≤100,1
222957571664804,StudentHub,These ads ran without a disclaimer,≤100,1
