Location name,Amount spent (USD)
Balaka District,≤100
Blantyre District,≤100
Chitipa District,≤100
Dedza District,≤100
Dowa District,≤100
Karonga District,≤100
Kasungu District,≤100
Lilongwe District,≤100
Machinga District,≤100
Mangochi District,≤100
Mchinji District,≤100
Mulanje District,≤100
Mwanza District,≤100
Mzimba District,≤100
Neno District,≤100
Nkhata Bay District,≤100
Nkhotakota District,≤100
Ntcheu District,≤100
Phalombe District,≤100
Rumphi District,≤100
Salima District,≤100
Thyolo District,≤100
Zomba District,≤100
