Location name,Amount spent (COP)
Amazonas,3240
Antioquia,7951977
Arauca,210716
Atlantico,1581088
Bolivar,816827
Boyaca,547808
Caldas,535031
Caqueta,867436
Casanare,345598
Cauca,348063
Cesar,270195
Choco,56184
Cordoba,1132750
Cundinamarca,1227825
Distrito Especial,6606586
Guainia,19622
Guaviare,15419
Huila,727665
La Guajira,236871
Magdalena,178158
Meta,415711
Narino,213880
Norte de Santander,2121186
Putumayo,700099
Quindio,181221
Risaralda,1884259
San Andres y Providencia,46615
Santander,1897075
Sucre,328238
Tolima,1139164
Unknown,316
Valle del Cauca,4492548
Vaupes,682
Vichada,1718
