Location name,Amount spent (LBP)
Beirut Governorate,2285740
Beqaa Governorate,896230
Mount Lebanon Governorate,1549653
Nabatieh Governorate,366727
North Governorate,1371847
South Governorate,565722
Unknown,≤100
