Location name,Amount spent (CAD)
Alberta,6268
British Columbia,8678
Manitoba,1922
New Brunswick,1226
Newfoundland and Labrador,851
Northwest Territories,313
Nova Scotia,2034
Nunavut,107
Ontario,57868
Prince Edward Island,221
Quebec,15438
Saskatchewan,1628
Unknown,≤100
Yukon,281
