Location name,Amount spent (EGP)
Al Sharqia Governorate,4000
Alexandria Governorate,3997
Aswan Governorate,732
Asyut Governorate,1579
Beheira Governorate,2384
Beni Suef Governorate,1015
Cairo Governorate,8750
Dakahlia Governorate,5662
Damietta Governorate,1388
Faiyum Governorate,1061
Gharbia Governorate,3349
Giza Governorate,2544
Ismailia Governorate,1238
Kafr el-Sheikh Governorate,2060
Luxor Governorate,484
Matrouh Governorate,242
Minya Governorate,1823
Monufia Governorate,2361
New Valley Governorate,197
North Sinai Governorate,337
Port Said Governorate,1234
Qalyubia Governorate,2866
Qena Governorate,1168
Red Sea Governorate,415
Sohag Governorate,1817
South Sinai Governorate,167
Suez Governorate,556
Unknown,≤100
