Location name,Amount spent (COP)
Amazonas,1459
Antioquia,3218430
Arauca,14893
Atlantico,654228
Bolivar,223726
Boyaca,53097
Caldas,236530
Caqueta,43732
Casanare,26175
Cauca,219012
Cesar,57692
Choco,14894
Cordoba,92899
Cundinamarca,669904
Distrito Especial,5920631
Guainia,576
Guaviare,35566
Huila,193116
La Guajira,81248
Magdalena,163294
Meta,148252
Narino,80811
Norte de Santander,340684
Putumayo,45620
Quindio,181794
Risaralda,616400
San Andres y Providencia,3914
Santander,383931
Sucre,65208
Tolima,175874
Unknown,≤100
Valle del Cauca,3336309
Vaupes,844
Vichada,1041
