Location name,Amount spent (EUR)
Alsace,684
Aquitaine,1365
Auvergne,419
Basse-Normandie,448
Bourgogne,555
Bretagne,1076
Centre,809
Champagne-Ardenne,385
Corse,151
Franche-Comté,346
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,790
Languedoc-Roussillon,1240
Limousin,220
Lorraine,803
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1154
New Caledonia,≤100
Nord-Pas-de-Calais,1189
Pays de la Loire,1115
Picardie,735
Poitou-Charentes,627
Provence-Alpes-Côte d'Azur,2341
Reunion Island,111
Rhône-Alpes,2390
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3984
