Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
113432613540693,وزارة الصحة والسكان المصرية,وزارة الصحة والسكان المصرية,22466,17
384511478794856,Thndr ثاندر,These ads ran without a disclaimer,3029,5
798673866859390,ETC TV,ETC TV,2784,20
550280998481446,Rasha Kelej,Rasha Kelej,2142,23
2035593490055091,النائب عمرو القطامي,النائب عمرو القطامي,1416,8
106088658611833,المرشح الرئاسى احمد الفضالى,المرشح الرئاسى احمد الفضالى,1339,2
1440732656173900,EDU Gate,These ads ran without a disclaimer,1236,1
308088503057656,النائب محمود عصام,النائب محمود عصام,1080,7
112955485159674,مدحت الكمار ــ Medhat Al.Kammar,مدحت محمد عطية الكمار,1064,3
110877857406073,المهندس حسام لبن,المهندس حسام لبن,912,5
106450555171099,مجدي البري - Magdy Elbery,مجدي البري - Magdy Elbery,909,6
101009088774421,حزب حماة الوطن,حزب حماة الوطن,749,12
181524565276709,الهلال الأحمر المصري - Egyptian Red Crescent,الهلال الأحمر المصري - Egyptian Red Crescent,716,5
963424467011784,أحمد فتحي - Ahmed Fathy,أحمد فتحي - Ahmed Fathy,606,3
103283332669003,مؤسسة جمال الجارحي للتنمية المجتمعية,مؤسسة جمال الجارحي للتنمية المجتمعية,542,1
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,492,4
100427812819609,زيارات أفضل أساتذة العظام من القاهرة لمحافظات الصعيد,These ads ran without a disclaimer,296,1
199703440927711,Print Shop,These ads ran without a disclaimer,271,1
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,243,1
101490162995269,محمد مصطفى فؤاد,These ads ran without a disclaimer,242,1
100369079577438,نقابة المحامين المصرية,نقابة المحامين المصرية,238,4
105386041341175,النائب د. حسين خضير,النائب د. حسين خضير,228,4
1424610401122573,هاني العتال - Hany Alattal,هاني العتال - Hany Alattal,188,1
116162031437395,Ali Elshraee - على الشريعي,Ali Elshraee - على الشريعي,174,2
103395314662888,حزب الشعب الجمهوري - مصر,حزب الشعب الجمهوري - مصر,167,1
279224125621229,قناة مكملين - الرسمية,These ads ran without a disclaimer,150,1
105872082337085,النائب أحمد عبدالجواد,النائب أحمد عبدالجواد,149,2
273900239400893,نقابة المحامين المصرية,نقابة المحامين المصرية,145,2
104570177893410,أحمد علي الألفي,أحمد علي الألفي,141,1
109093158038193,Mohamed El Manzalawi - محمد المنزلاوي,Mohamed El Manzalawi - محمد المنزلاوي,117,1
104525496023300,Language of Business,These ads ran without a disclaimer,108,1
