Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,289
Apurímac Region,101
Arequipa Region,416
Ayacucho Region,174
Cajamarca Region,266
Callao,139
Cusco Region,343
Huancavelica Region,≤100
Huánuco Region,138
Ica Region,323
Junín Region,262
La Libertad Region,459
Lambayeque Region,312
Lima Region,2902
Loreto Region,166
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,426
Puno Region,381
San Martín Region,235
Tacna Region,161
Tumbes Region,≤100
Ucayali Region,144
Unknown,≤100
