Location name,Amount spent (RON)
Alba County,579
Arad County,680
Argeș County,903
Bacău County,974
Bihor County,1038
Bistrița-Năsăud County,515
Botoșani County,607
Brașov County,1000
Brăila County,687
Bucharest,4593
Buzău County,672
Caraș-Severin County,423
Cluj County,1896
Constanța County,1459
Covasna County,343
Călărași County,392
Dolj County,892
Dâmbovița County,915
Galați County,771
Giurgiu County,344
Gorj County,573
Harghita County,728
Hunedoara County,872
Ialomița County,353
Iași County,1417
Ilfov County,734
Maramureș County,699
Mehedinți County,524
Mureș County,952
Neamț County,1401
Olt County,503
Prahova County,1237
Satu Mare County,581
Sibiu County,666
Suceava County,1079
Sălaj County,343
Teleorman County,413
Timiș County,1294
Tulcea County,339
Unknown,≤100
Vaslui County,520
Vrancea County,898
Vâlcea County,535
