Location name,Amount spent (NOK)
Akershus,5553
Aust-Agder,1078
Buskerud,2554
Finnmark,1046
Hedmark,2136
Hordaland,5859
Møre og Romsdal,2579
Nord-Trøndelag,1273
Nordland,2558
Oppland,2355
Oslo,13045
Rogaland,4158
Sogn og Fjordane,1152
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,2914
Telemark,1731
Troms,2342
Unknown,416
Vest-Agder,1852
Vestfold,2330
Østfold,3192
