Location name,Amount spent (MXN)
Aguascalientes,4496
Baja California,17440
Baja California Sur,4510
Campeche,9391
Chiapas,8189
Chihuahua,17594
Coahuila de Zaragoza,66854
Colima,21985
Distrito Federal,121867
Durango,5169
Guanajuato,16556
Guerrero,6461
Hidalgo,9466
Jalisco,440160
Michoacán de Ocampo,29404
Morelos,13488
Nayarit,2036
Nuevo León,44239
Oaxaca,7186
Puebla,15100
Querétaro Arteaga,10459
Quintana Roo,6562
San Luis Potosi,8238
Sinaloa,6678
Sonora,8732
State of Mexico,164440
Tabasco,10393
Tamaulipas,19009
Tlaxcala,3451
Unknown,≤100
Veracruz,13383
Yucatán,25072
Zacatecas,3087
