Location name,Amount spent (EUR)
Alsace,926
Aquitaine,1854
Auvergne,587
Basse-Normandie,630
Bourgogne,866
Bretagne,1491
Centre,1207
Champagne-Ardenne,561
Corse,234
Franche-Comté,446
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,901
Languedoc-Roussillon,1806
Limousin,324
Lorraine,1043
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1792
New Caledonia,≤100
Nord-Pas-de-Calais,1899
Pays de la Loire,1684
Picardie,812
Poitou-Charentes,837
Provence-Alpes-Côte d'Azur,3273
Reunion Island,103
Rhône-Alpes,3314
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,6830
