Location name,Amount spent (EGP)
Al Sharqia Governorate,1012
Alexandria Governorate,900
Aswan Governorate,144
Asyut Governorate,342
Beheira Governorate,500
Beni Suef Governorate,230
Cairo Governorate,2918
Dakahlia Governorate,831
Damietta Governorate,456
Faiyum Governorate,230
Gharbia Governorate,740
Giza Governorate,1017
Ismailia Governorate,435
Kafr el-Sheikh Governorate,412
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,368
Monufia Governorate,663
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,195
Qalyubia Governorate,710
Qena Governorate,248
Red Sea Governorate,≤100
Sohag Governorate,485
South Sinai Governorate,≤100
Suez Governorate,102
Unknown,≤100
