Location name,Amount spent (PKR)
Azad Kashmir,947
Balochistan,1404
Federally Administered Tribal Areas,221
Gilgit-Baltistan,417
Islamabad Capital Territory,3368
Khyber Pakhtunkhwa,6273
Punjab,32833
Sindh,10099
Unknown,≤100
