Location name,Amount spent (CLP)
Antofagasta Region,201874
Araucanía Region,320779
Arica y Parinacota Region,98596
Atacama Region,89477
Aysén Region,87417
Bío Bío Region,645772
Coquimbo Region,1101287
Los Lagos Region,338310
Los Ríos Region,136453
Magallanes y la Antártica Chilena Region,71822
Maule Region,336912
O'Higgins Region,949132
Santiago Metropolitan Region,2805127
Tarapacá Region,215902
Unknown,≤100
Valparaíso Region,854076
