Location name,Amount spent (CAD)
Alberta,9681
British Columbia,8642
Manitoba,2507
New Brunswick,1324
Newfoundland and Labrador,462
Northwest Territories,≤100
Nova Scotia,1020
Nunavut,≤100
Ontario,15575
Prince Edward Island,152
Quebec,12148
Saskatchewan,1665
Unknown,≤100
Yukon,≤100
