Location name,Amount spent (NZD)
Auckland Region,3330
Bay of Plenty Region,800
Canterbury,1461
Gisborne District,≤100
Hawke's Bay,327
Manawatu-Wanganui,598
Marlborough Region,≤100
Nelson Province,133
Northland Region,416
Otago,425
Southland,213
Taranaki,244
Tasman District,≤100
Unknown,≤100
Waikato,979
Wellington Region,1780
West Coast,≤100
