Location name,Amount spent (HUF)
Baranya County,62209
Borsod-Abaúj-Zemplén County,82554
Budapest,369868
Bács-Kiskun County,71326
Békés County,52041
Csongrád County,95199
Fejér County,71660
Győr-Moson-Sopron County,66863
Hajdú-Bihar County,106728
Heves County,74976
Jász-Nagykun-Szolnok County,434690
Komárom-Esztergom County,46982
Nógrád County,31400
Pest County,215621
Somogy County,45092
Szabolcs-Szatmár-Bereg County,69993
Tolna County,41046
Unknown,≤100
Vas County,39803
Veszprém County,53660
Zala County,50470
