Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
167924689961661,Unidad Nacional de la Esperanza,Leonel Aníbal Quiñónez Aguilar,6000,34
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,4000,23
115400548040796,Guate Al Día,Guate al Dia,769,11
115463025737962,Salvador Paiz,Salvador Paiz,604,6
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,559,3
142556265766634,Guatemala Visible,Guatemala Visible,261,2
331961940541181,Partido Victoria,Partido Político Victoria,164,1
1630952833827354,Armando Castillo,Armando  Damian Castillo Alvarado,156,1
191866540866722,Elecciones Infantiles,Fundación Elecciones Infantiles de Centroamérica,≤100,1
106908785419555,Goberna Guatemala,Goberna,≤100,3
111135201593853,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,≤100,1
103769008029892,Noticias San Marcos,Jennifer Lopez,≤100,1
101559144921198,Noticias San Pedro Sacatepéquez,Jennifer Lopez,≤100,1
100423518427634,Comisión Presidencial Contra la Corrupción,Comisión Presidencial Contra la Corrupción,≤100,1
247880795612406,Secretaría Nacional de Administración de Bienes en Extinción de Dominio,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,4
1853166571637415,RISEI,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,3
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,4
109076095187370,Youthoppia,These ads ran without a disclaimer,≤100,1
100417379468020,Agronomy MDPI,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
