Location name,Amount spent (LBP)
Beirut Governorate,2535175
Beqaa Governorate,680191
Mount Lebanon Governorate,1266169
Nabatieh Governorate,364348
North Governorate,1094838
South Governorate,521815
Unknown,≤100
