Location name,Amount spent (SEK)
Blekinge County,4199
Dalarna County,8471
Gotland County,2012
Gävleborg County,8612
Halland County,8698
Jämtland County,3951
Jönköping County,9338
Kalmar County,6176
Kronoberg County,4623
Norrbotten County,8248
Skåne County,40250
Stockholm County,71771
Södermanland County,8364
Unknown,≤100
Uppsala County,12109
Värmland County,7308
Västerbotten County,8101
Västernorrland County,7624
Västmanland County,7985
Västra Götaland County,54936
Örebro County,8345
Östergötland County,12450
