Location name,Amount spent (PLN)
Greater Poland Voivodeship,3413
Kuyavian-Pomeranian Voivodeship,2562
Lesser Poland Voivodeship,3018
Lower Silesian Voivodeship,2402
Lublin Voivodeship,1578
Lubusz Voivodeship,756
Masovian Voivodeship,6213
Opole Voivodeship,783
Podkarpackie Voivodeship,1566
Podlaskie Voivodeship,753
Pomeranian Voivodeship,2486
Silesian Voivodeship,4159
Unknown,≤100
Warmian-Masurian Voivodeship,1078
West Pomeranian Voivodeship,1538
Łódź Voivodeship,2092
Świętokrzyskie Voivodeship,851
