Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
135843375926,UNICEF Norge,UNICEF Norge,16938,23
1514635018793437,Nordmørslista,Stig Anders Stensvik Ohrvik,2258,4
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,1811,4
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,1730,32
20468812735,LO,LO,1397,17
10953652930,Høyre,Høyre,1238,1
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,1104,4
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,1001,48
109668258634924,Fylkesordførerkandidat Per Olav Skurdal Hopsø,Trøndelag Arbeiderparti,724,2
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,697,2
798750773559841,Bufdir,"Barne-, ungdoms-, og familiedirektoratet",655,1
2398568533531114,Velferdsmiks,NHO Service og Handel,645,7
176175415825122,apotek.no,Apotekforeningen,399,15
108106430662575,Suscon As,Ronny Grindstein,389,2
157475710986651,Kvinnegruppa Ottar,Kvinnegruppa Ottar landsstyret,379,3
1241838412569626,Novartis Norge,Novartis Norge AS,320,3
117840771633607,Nittedal FrP,Fremskrittspartiet,300,1
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,293,6
536745556722065,Lillestrøm FrP,Lillestrøm FrP,279,2
300127442096,Norske Kvinners Sanitetsforening,Norske Kvinners Sanitetsforening,269,1
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,243,2
21967399403,Cappelen Damm,Cappelen Damm,238,4
102203325950193,Ingvild Lemme Kristiansen,Stendi,234,14
185349298793613,"Kari Nessa Nordtun, ordfører i Stavanger","Ordfører Kari Nessa Nordtun, Stavanger kommune",185,2
109908791410782,Dugnad for menneskerettigheter,Dugnad for menneskerettigheter,169,1
105939782037295,Altinget.no,Altinget AS,163,2
186626994701210,Forbundet for Ledelse og Teknikk (FLT),Forbundet for Ledelse og Teknikk (FLT),161,5
