Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
100910024639566,Ali Babacan,Deva Partisi,9730,11
102095934751904,Deva Partisi,Deva Partisi,4829,3
107826985478243,Yakup Türkal,Yavuz Türkmen,4210,6
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,3124,22
183754020921,Saadet Partisi,Saadet Partisi,2429,9
141870402543282,AK Parti,Ak Parti,2364,2
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,1937,25
102911415086731,Ömer Yazıcıoğlu,Ömer Yazıcıoğlu,1794,1
1439683329600228,Ümit Uysal,Ümit Uysal,1050,1
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),958,1
100431406701471,Internethaber,Internethaber,946,1
105606068096395,Manşet 35,Manşet 35,709,1
100747092360982,ferhatiscimen,Ferhat Işçimen,677,1
111751313846537,Hülya Erdem,Hülya Erdem,592,13
108252655310283,Ahmet ÇELEBİ - İYİ Parti İstanbul 1.Bölge Milletvekili Aday Adayı,Ahmet ÇELEBİ - İYİ Parti İstanbul 1.Bölge Milletvekili Aday Adayı,483,1
483282718428036,Meral Akşener,İYİ Parti,472,1
225592197622783,Lütfü Savaş,Lütfü Savaş,451,9
427667890724620,Tarkan Akıllı,Tarkan Akıllı,397,1
842962915908391,Seçim Oyunu,These ads ran without a disclaimer,394,15
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,393,1
2176700602589333,Dr. Mustafa İduğ,Dr. Mustafa İduğ,314,5
103848288831310,Serkan Karayiğit,Baran Alperen Pınar,308,9
1968422403371242,Mükerrem Tollu,Mukerrem Tollu,280,2
219031704851494,SAS (Satın Almayın Sahiplenin),Fırat Yıldız Ahmet,262,4
103728271055286,Selçuk Kılıçaslan,Selcuk Kilicaslan,257,2
2222003764721494,Halit Doğan,Halit Doğan,246,1
346006742126033,Bornova Belediyesi,Bornova Belediyesi,220,2
1620080691588973,Serkan SARI,Serkan Sarı,209,6
2064731740417261,Seyyid Bilal Kabdan,Seyyid Bilal Kabdan,197,4
144096473392,Yeşil Gazete,Yeşil Gazete,197,3
129348497218806,Afyonkarahisar Belediyesi,Afyonkarahisar Belediyesi,195,2
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,191,1
1986133791650620,Lütfi Kaşıkçı,Gülşah Erbey Dağ,183,1
1481865401841739,Müge Yıldız Topak,Sinan Karışan,167,1
413113452433564,Cengiz Gökçel,Cengiz Gökçel,156,2
645088255518003,Vahap Seçer,Vahap Seçer,153,1
1985687308391802,İlhan Ocaklı,İlhan Ocaklı,149,4
100516989042507,Balıkesir Posta TV,Ahmet Namlı,146,1
828294820590556,Serkan Topal,Serkan Topal,143,2
167633913392268,Kolejliler,Fırat Yıldız Ahmet,143,4
130021167171935,Hüseyin Keskin,Hüseyin Keskin,140,7
143886862341866,Adamor - Toplum Araştırmaları Merkezi,Adem Saglam,134,2
1393164211008439,Saadet Partisi Zeytinburnu,These ads ran without a disclaimer,134,1
109383912042581,Faruk Darıyerli,Faruk Darıyerli,125,5
217712041637127,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,ADALET ve KALKINMA PARTİSİ GENÇLİK KOLLARI,114,1
106187277979172,Dijital Gaste,Veysel Karahan,112,1
394923520991442,Gonca Yelda Orhan,Gonca Yelda Orhan,112,3
511707202180465,Kangal Aşkk'tır,Fırat Yıldız Ahmet,111,4
163370640412446,Bursa,Sosyal TV,108,1
786257948380440,Çetin Akın,Çetin Akın,≤100,1
108390012832175,Fatih Akkentli,Atacan Özbay,≤100,4
2234782036766963,Dr. Cemil Tugay,Dr. Cemil Tugay,≤100,3
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,≤100,10
314386289265240,Ali Zafer İksir,ALİ ZAFER İKSİR,≤100,1
460475137715622,Kazım Yücel,Kazim Yucel,≤100,1
1493744950841097,Kınık Belediyesi,Sadik Dogruer,≤100,1
979738848890749,Faruk Kılıç,Faruk Kilic,≤100,10
110734265223274,Av. Dr. Veli Böke,avdrveliboke,≤100,2
102081045702842,Ozan Balık,Ozan Balik,≤100,2
190217144502606,Av. Sinan Tekin,Sinan Tekin,≤100,3
106433519384639,Haber7,Haber7,≤100,1
264018517607219,Mehmet Zeybek,Mehmet Zeybek,≤100,1
532775093532626,Yücel Bulut,Yucel Bulut,≤100,2
1614212022160759,Fehmi Yağlı,Fehmi Yagli,≤100,3
102191762736431,Murat Toycan Selçuk,Digivizyon Reklamcılık,≤100,1
109956634614491,CHP Gönen İlçe Başkanlığı,CHP Gönen İlçe Başkanlığı,≤100,2
2028274240749386,Celal Köse,Celal Köse,≤100,2
1426671767567755,Hayri Türkyılmaz,Hayri Türkyılmaz,≤100,1
463377917089447,Çanakkale Demokrat Gazetesi,These ads ran without a disclaimer,≤100,2
117491812983397,Yurttan Sesler,Yurttan Sesler,≤100,1
815048841929079,M. Ergün Turan,M. Ergün Turan,≤100,1
101700471513125,Kadir Aydın,Kadir Aydın,≤100,1
723113807768777,Hasan Eryılmaz,Deniz Guner,≤100,1
2119202941492829,Okan Kocakaya,Okan Kocakaya,≤100,1
1414574845504535,Mimar İbrahim Demir chp adana Milletvekili adayı,Mimar İbrahim Demir chp adana Milletvekili adayı,≤100,4
113944458195273,Rahmi Mete AY,Rahmi Mete Ay,≤100,1
101513841785199,Mustafa Gökçe,Mustafa Gokce,≤100,1
101647438616294,Sertaç Alkaya,Sertaç Alkaya,≤100,1
107924807410702,Samet Bağcı,Samet Bağcı,≤100,2
1098873696791007,HaymatlosMekan,These ads ran without a disclaimer,≤100,1
103167881182863,Temiz Enerji Haber Portalı,Temiz Enerji Haber Portalı,≤100,3
113520250837777,Türkiye İşçi Partisi Kocaeli,Cenk Dik,≤100,1
105966055681586,Mehmet Dayanıklı,AEC PRO,≤100,1
549579538907553,Erhan ÖZHAN I Bünyan I Kayseri,Erhan Ozhan,≤100,1
283657205667155,Mustafa Ali Fırtına,Mustafa Ali Firtina,≤100,2
109582040400900,Sadık Altunok,Sadik Altunok,≤100,1
1952748275030916,Kürşad Mithat ÖZKAN,Kursad Mithat Ozkan,≤100,2
158077404753235,Çanakkale Zafer TV,Zafer Durmaz,≤100,1
104373561467884,Serhat Servet Dövenci,Serhat Servet Dövenci33,≤100,4
737340966376001,Metin Kala,Metin Kala,≤100,1
321362181572355,Dr. Turan Şener,Dr. Turan Şener,≤100,1
103285814499773,H. Yalım Halıcı,Kadir Dede,≤100,1
459314071262613,Zeynettin Aydın,Zeynettin Aydın,≤100,4
866178810191059,Mahmut Koçak,Mahmut Koçak,≤100,1
104267921764717,Deva Partisi Trabzon İl Başkanlığı,Kubilay Çiçek,≤100,2
924417247738396,İsmet Tokdemir,Ismet Tokdemir,≤100,1
254579061905181,Dr. Bilal Okudan,Dr. Bilal Okudan,≤100,1
114888940432389,Medya Midas,Medya Midas,≤100,1
906394629482043,CHP Parti Okulu,CHP Parti Okulu,≤100,1
834954409860187,Gamze Akkuş İlgezdi,Gamze Akkuş İlgezdi,≤100,1
101315571670453,Webagron Tarımsal İçerik Platformu,Sude Gelişli,≤100,1
210201242899593,Ayhan Demircioğlu,Ayhan Demicioglu,≤100,1
1572709256359993,İnternethaber TV,HADİ ÖZIŞIK,≤100,1
101570379251386,Lüleburgaz Postası,Lüleburgaz Postası,≤100,1
104459891039146,Genç Refah Tekirdağ,These ads ran without a disclaimer,≤100,1
101452889278837,Ahmet Burak TURGUT,Ahmet Burak TURGUT,≤100,1
984877918214362,Samsun Haber,Samsun Haber,≤100,2
108230374345347,Kemalist Tartışma Topluluğu,Mahmut Sert,≤100,1
112868328334173,Turgut Özal,Rahmi Mete Ay,≤100,1
127896160644676,KORAY AYDIN,KORAY AYDIN,≤100,1
568133920321788,Dr. Evren Dinçer,Dr. Evren Dinçer,≤100,1
110170104024743,setaresardar,These ads ran without a disclaimer,≤100,1
298764070816267,Mehmet Tütüncü,Mehmet TÜTÜNCÜ Türkiye Temsilcisi,≤100,1
465887546792664,Halkın Kurtuluş Partisi - HKP,TAYFUR BİN,≤100,1
1764577253790486,Mehmet Yılmazer,Mehmet Yılmazer,≤100,1
103677665242613,Erzurum Ajans www.erzurumajans.com,Erzurum Ajans www.erzurumajans.com,≤100,2
112316738427545,Hakan Halim Okudan,These ads ran without a disclaimer,≤100,1
106197277802679,H24,H24,≤100,1
1028368393892777,Mehmet Ali Özkan,Mehmet Ali ÖZKAN,≤100,1
463215923715177,Mehmet Yiğiner,Bekir Koyuncu,≤100,2
107026624509226,Kozmonot,These ads ran without a disclaimer,≤100,1
106686450985379,BLUE Global Ltd. Şti.,İlhami Gönülalan,≤100,2
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
112114648346498,saldango,These ads ran without a disclaimer,≤100,1
113350834985507,meligor2023,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,2
498108350567415,Nilüfer Deveci,Nilufer Deveci,≤100,1
108552928182311,Al Sancak Partisi,Nuri Çelebi,≤100,1
106134709001342,interhaber24istanbul,These ads ran without a disclaimer,≤100,1
212145345624732,Koray ÖNSEL,Koray ÖNSEL,≤100,1
108664601395259,وطـن - Watan Tv,These ads ran without a disclaimer,≤100,1
104143732237595,Sürekli Haber,Sürekli Haber,≤100,2
100243795717898,lailoffiziall,These ads ran without a disclaimer,≤100,1
13185976173,National Aquarium,These ads ran without a disclaimer,≤100,2
105972055717863,gokhanturkesmhp,These ads ran without a disclaimer,≤100,1
104893368263434,Ali Çiçek,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,2
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
104889235774130,Artur Ziganshin,These ads ran without a disclaimer,≤100,1
610282369126459,Pishkesh Market,These ads ran without a disclaimer,≤100,1
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,1
116907477960615,Anisur Rahman,These ads ran without a disclaimer,≤100,1
