Location name,Amount spent (SEK)
Blekinge County,4450
Dalarna County,8953
Gotland County,2203
Gävleborg County,9682
Halland County,9562
Jämtland County,4358
Jönköping County,10480
Kalmar County,6862
Kronoberg County,5606
Norrbotten County,9235
Skåne County,43630
Stockholm County,77133
Södermanland County,9098
Unknown,≤100
Uppsala County,12668
Värmland County,8326
Västerbotten County,8633
Västernorrland County,8464
Västmanland County,8625
Västra Götaland County,62124
Örebro County,9168
Östergötland County,14173
