Location name,Amount spent (VND)
An Giang Province,33262
Bà Rịa–Vũng Tàu Province,77872
Bình Dương Province,226871
Bình Phước Province,49017
Bình Thuận Province,60485
Bình Định Province,59271
Bạc Liêu Province,34926
Bắc Giang Province,309854
Bắc Kạn Province,14965
Bắc Ninh Province,135956
Bến Tre Province,56062
Cao Bằng Province,314172
Cà Mau Province,55337
Cần Thơ,47123
Da Nang,64926
Gia Lai Province,52418
Haiphong,116571
Ho Chi Minh City,1535457
Hà Giang Province,18727
Hà Nam Province,45587
Hà Tĩnh Province,71251
Hòa Bình Province,28468
Hưng Yên Province,105139
Hải Dương Province,234118
Hậu Giang Province,12816
Khánh Hòa Province,58865
Kiên Giang Province,53384
Kon Tum Province,25144
Lai Châu Province,8085
Long An Province,119102
Lào Cai Province,23830
Lâm Đồng Province,150418
Lạng Sơn Province,53502
Nam Định Province,107256
Nghệ An Province,186382
Ninh Bình Province,37109
Ninh Thuận Province,20193
Phú Thọ Province,434935
Phú Yên Province,34096
Quảng Bình Province,59910
Quảng Nam Province,68075
Quảng Ngãi Province,119057
Quảng Ninh Province,84686
Quảng Trị Province,25358
Sóc Trăng Province,63510
Sơn La Province,52330
Thanh Hóa Province,182279
Thái Bình Province,106405
Thái Nguyên Province,82550
Thừa Thiên–Huế Province,35104
Tiền Giang Province,46177
Trà Vinh Province,34402
Tuyên Quang Province,112142
Tây Ninh Province,349709
Vĩnh Long Province,24725
Vĩnh Phúc Province,146514
Yên Bái Province,36363
Điện Biên Province,34048
Đắk Lắk Province,93841
Đắk Nông Province,29928
Đồng Nai Province,224588
Đồng Tháp Province,65482
