Location name,Amount spent (JPY)
Aichi Prefecture,34297
Akita Prefecture,2301
Aomori Prefecture,3128
Chiba Prefecture,27644
Ehime Prefecture,3484
Fukui Prefecture,2347
Fukuoka Prefecture,37593
Fukushima Prefecture,6232
Gifu Prefecture,7211
Gunma Prefecture,14826
Hiroshima Prefecture,10221
Hokkaido,21673
Hyōgo Prefecture,22863
Ibaraki Prefecture,9546
Ishikawa Prefecture,4596
Iwate Prefecture,3183
Kagawa Prefecture,3827
Kagoshima Prefecture,4111
Kanagawa Prefecture,61757
Kumamoto Prefecture,6265
Kyoto Prefecture,16036
Kōchi Prefecture,1628
Mie Prefecture,9138
Miyagi Prefecture,14269
Miyazaki Prefecture,3394
Nagano Prefecture,6321
Nagasaki Prefecture,4385
Nara Prefecture,4834
Niigata Prefecture,6082
Okayama Prefecture,6432
Okinawa Prefecture,6516
Osaka Prefecture,55672
Saga Prefecture,3342
Saitama Prefecture,27305
Shiga Prefecture,5128
Shimane Prefecture,1667
Shizuoka Prefecture,14108
Tochigi Prefecture,6729
Tokushima Prefecture,1977
Tokyo,86894
Tottori Prefecture,2086
Toyama Prefecture,2974
Unknown,202
Wakayama Prefecture,3040
Yamagata Prefecture,2445
Yamaguchi Prefecture,4686
Yamanashi Prefecture,4492
Ōita Prefecture,4803
