Location name,Amount spent (EUR)
Alsace,1306
Aquitaine,2695
Auvergne,819
Basse-Normandie,902
Bourgogne,1019
Bretagne,1985
Centre,1705
Champagne-Ardenne,858
Corse,379
Franche-Comté,697
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,1193
Languedoc-Roussillon,2581
Limousin,458
Lorraine,1875
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,2276
New Caledonia,≤100
Nord-Pas-de-Calais,2803
Pays de la Loire,2145
Picardie,1262
Poitou-Charentes,1251
Provence-Alpes-Côte d'Azur,5360
Reunion Island,≤100
Rhône-Alpes,4435
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,8909
