Location name,Amount spent (ARS)
Buenos Aires,1170782
Catamarca,71331
Chaco,105530
Chubut,83501
Ciudad Autónoma de Buenos Aires,218901
Corrientes,27224
Córdoba,1571676
Entre Rios,197886
Formosa,41371
Jujuy,29957
La Pampa,46883
La Rioja,39294
Mendoza,40492
Misiones,62628
Neuquén,240397
Río Negro,35699
Salta,62878
San Juan,61145
San Luis,40244
Santa Cruz,4677
Santa Fe,245009
Santiago del Estero,8997
Tierra del Fuego,32449
Tucuman,100766
Unknown,≤100
