Location name,Amount spent (TRY)
Adana Province,999
Adıyaman Province,≤100
Afyonkarahisar Province,≤100
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,774
Antalya Province,5357
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,266
Ağrı Province,≤100
Balıkesir Province,167
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,107
Bursa Province,364
Denizli Province,115
Diyarbakır Province,124
Düzce Province,815
Edirne Province,106
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,116
Gaziantep Province,133
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,388
Isparta Province,≤100
Istanbul Province,7817
Iğdır Province,≤100
Kahramanmaraş Province,≤100
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,144
Kilis Province,≤100
Kocaeli Province,362
Konya Province,926
Kütahya Province,≤100
Kırklareli Province,268
Kırıkkale Province,142
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,526
Mardin Province,≤100
Mersin Province,663
Muğla Province,574
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,272
Samsun Province,683
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,533
Tokat Province,≤100
Trabzon Province,≤100
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,3500
Çanakkale Province,≤100
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1464
Şanlıurfa Province,≤100
Şırnak Province,≤100
