Location name,Amount spent (COP)
Amazonas,2339
Antioquia,2442061
Arauca,20542
Atlantico,315359
Bolivar,187198
Boyaca,69944
Caldas,149115
Caqueta,76703
Casanare,229575
Cauca,118792
Cesar,83933
Choco,18856
Cordoba,79432
Cundinamarca,304627
Distrito Especial,1665428
Guainia,832
Guaviare,5264
Huila,518884
La Guajira,52985
Magdalena,101316
Meta,273879
Narino,75585
Norte de Santander,156390
Putumayo,17182
Quindio,75364
Risaralda,675015
San Andres y Providencia,3860
Santander,170013
Sucre,55026
Tolima,239364
Unknown,103
Valle del Cauca,1015722
Vaupes,871
Vichada,1334
