Location name,Amount spent (PKR)
Azad Kashmir,600
Balochistan,1386
Federally Administered Tribal Areas,189
Gilgit-Baltistan,361
Islamabad Capital Territory,932
Khyber Pakhtunkhwa,8272
Punjab,22257
Sindh,18093
Unknown,≤100
