Location name,Amount spent (CZK)
Central Bohemian Region,8512
Hradec Králové Region,3976
Karlovy Vary Region,2371
Liberec Region,3032
Moravian-Silesian Region,9118
Olomouc Region,4935
Pardubice Region,3898
Plzeň Region,4332
Prague,17311
South Bohemian Region,4346
South Moravian Region,9697
Unknown,≤100
Vysočina Region,3005
Zlín Region,3967
Ústí nad Labem Region,6263
